City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,port-vila,-17.7338,168.3219,23.03,63,100,5.53,VU,1715193761
229,punta arenas,-53.15,-70.9167,3.06,93,75,1.54,CL,1715193528
230,freetown,8.484,-13.2299,29.84,74,75,6.17,SL,1715193746
231,skeldon,5.8833,-57.1333,28.95,71,100,4.19,GY,1715193761
232,vadso,70.0744,29.7487,0.09,74,40,2.57,NO,1715193761
233,nanchang,28.6833,115.8833,19.61,72,100,2.9,CN,1715193761
234,carnarvon,-24.8667,113.6333,21.66,54,26,1.06,AU,1715193761
235,walvis bay,-22.9575,14.5053,17.53,77,0,2.06,NA,1715193761
236,cabedelo,-6.9811,-34.8339,30.37,78,100,4.43,BR,1715193541
237,ouadda,8.0777,22.4007,28.41,23,59,2.48,CF,1715193762
238,pizarro,4.9533,-77.366,25.83,93,100,4.29,CO,1715193762
239,madalena,41.2162,-8.3345,24.05,42,24,0.71,PT,1715193762
240,uruzgan,32.8333,66.0,22.62,32,0,1.78,AF,1715193762
241,changji,44.0167,87.3167,16.44,77,75,2.0,CN,1715193762
242,sitka,57.0531,-135.33,7.94,87,100,6.17,US,1715193762
243,kabare,-2.4683,28.8242,17.64,98,100,1.12,CD,1715193762
244,san isidro de curuguaty,-24.5167,-55.7,36.44,30,17,4.26,PY,1715193762
245,cidreira,-30.1811,-50.2056,23.65,83,100,5.57,BR,1715193532
246,ciudad insurgentes,25.2625,-111.7753,26.23,26,0,8.0,MX,1715193762
247,yur'yev-pol'skiy,56.5,39.6833,0.92,83,100,3.55,RU,1715193762
248,vokhtoga,58.8147,41.0461,-1.5,57,56,3.34,RU,1715193762
249,berezovyy,51.6667,135.7,10.73,55,100,2.29,RU,1715193762
250,retreat,38.8245,-85.8533,28.54,69,83,1.34,US,1715193762
251,queenstown,-31.8976,26.8753,13.59,81,4,2.17,ZA,1715193753
252,gunjur,13.2019,-16.7339,29.04,65,0,5.14,GM,1715193762
253,rujewa,-8.7,34.3833,20.17,70,67,5.01,TZ,1715193762
254,cooma,-36.2333,149.1333,8.8,96,100,0.17,AU,1715193762
255,praia da vitoria,38.7333,-27.0667,20.14,68,20,5.23,PT,1715193762
256,la passe,45.5549,-0.8967,20.13,82,43,4.21,FR,1715193762
257,delogozda,41.2572,20.7236,14.38,77,40,2.06,MK,1715193762
258,vorgashor,67.5833,63.95,-9.55,93,100,3.45,RU,1715193762
259,ghat,24.9647,10.1728,32.61,9,7,4.75,LY,1715193762
260,refahiye,39.9008,38.7667,8.6,63,0,1.34,TR,1715193762
261,berezniki,59.4152,56.8124,2.74,97,100,3.12,RU,1715193763
262,iquique,-20.2208,-70.1431,20.02,79,17,1.86,CL,1715193110
263,mitu,1.1983,-70.1733,30.94,67,94,1.23,CO,1715193763
264,constantia,44.1833,28.65,11.5,86,31,7.14,RO,1715193763
265,gobabis,-22.45,18.9667,24.05,34,31,5.12,NA,1715193763
266,papao,-17.75,-149.55,28.82,82,100,7.04,PF,1715193763
267,paulista florida,-21.6,-51.2,32.76,32,7,4.29,BR,1715193763
268,i-n-salah,27.1935,2.4607,33.12,11,0,6.3,DZ,1715193763
269,ola,59.5833,151.2833,0.08,92,100,1.14,RU,1715193763
270,coronado,32.6859,-117.1831,23.43,64,40,6.69,US,1715193763
271,anadyr,64.75,177.4833,-7.72,67,0,4.0,RU,1715193763
272,peterhead,57.5058,-1.7981,17.22,84,100,1.81,GB,1715193763
273,yuzhno-kurilsk,44.0306,145.8556,2.99,95,69,5.23,RU,1715193763
274,palikir - national government center,6.9248,158.1611,27.41,89,100,1.54,FM,1715193763
275,dzhambeyty,50.2536,52.595,7.87,76,98,8.97,KZ,1715193680
